Score,Host Name,Plan Name,CPU,Benchmark Version,Price per GB,Aikars Flags,Host Run/Provided,Dedicated/Shared Resources,Link to Submission
387,BASELINE,Oracle VPS,Oracle ARM CPU,0.3.1,NA,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/27
378,Wepwawet,Creeper,AMD Ryzen 5950X,0.3.1,$2.45 USD,False,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/21
376,Vultam Host,4GB Performance,AMD Ryzen 5950X,0.3.1,$3.50 USD,False,True,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/14
376,Wepwawet,Creeper (Empty Node),AMD Ryzen 5950X,0.3.1,$2.45 USD,False,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/17
337,Folium Hosting,Skeleton,AMD Ryzen 3600,0.3.1,$0.95 USD,True,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/34
311,SunriseNode,MC 10GB,Intel Xeon E3-1270v6,0.3.1,$1.25 USD,False,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/65
293,ShockByte,3GB Cobblestone North America,Intel Xeon E-2236,0.3.1,$2.50 USD,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/49
236,MagmaNode,2.5GB (Free),AMD Ryzen 3700X,0.3.1,$0 USD,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/41
208,CentroNodes,Pre-made 2,Intel i9-9900K,0.3.1,$0.89 USD,False,False,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/51
208,FalixNodes,Free 4GB,AMD Ryzen 5950X,0.3.1,$0 USD,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/30
