Score,Host Name,Plan Name,CPU,Server Software Title,Benchmark Version,Price per GB,Aikars Flags,Host Run/Provided,Dedicated/Shared Resources,Link to Submission
373,Wepwawet,Creeper,AMD Ryzen 5950X,Velocity 3.1.2,0.3.1,$2.45 USD,False,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/24
343,Wepwawet,Creeper (Empty Node),AMD Ryzen 5950X,Velocity 3.1.2,0.3.1,$2.45 USD,True,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/19
341,Folium Hosting,Skeleton,AMD Ryzen 3600,Velocity 3.1.2,0.3.1,$0.95 USD,True,True,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/38
340,EnviroMC,8GB Premium,AMD Ryzen 5950X,Velocity 3.1.1,0.3,$2.50 USD,?,True,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/13
324,ShockByte,3GB Cobblestone North America,Intel Xeon E-2236,Velocity 3.1.2,0.3.1,$2.50 USD,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/46
314,WinterNode,6GB Redstone Ore,Intel i9-9900K,Velocity 3.1.0,0.3,$2 USD,False,True,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/8
305,CentroNodes,Pre-made 2,Intel i9-9900k,Velocity 3.1.2,0.3.1,$0.89 USD,False,False,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/54
286,FalixNodes,Free 4GB,AMD Ryzen 5950X,Velocity 3.1.2,0.3.1,$0 USD,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/33
283,MagmaNode,2.5GB (Free),AMD Ryzen 3700X,Velocity 3.1.2,0.3.1,$0 USD,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/44
281,client.CortexNodes.com,Donor 8GB 5vCore,Intel Xeon E3-1275v3,Velocity 3.1.2,0.3.1,$0.40 USD,False,False,Dedicated,https://github.com/amnoah/Host-Benchmark-Results/discussions/57
278,BASELINE,Oracle VPS,Oracle ARM CPU,Velocity 3.1.1,0.3,NA,False,False,Shared,https://github.com/amnoah/Host-Benchmark-Results/discussions/2
